GEOID_ZCTA,pvty_pct
63101,15.642965204236006
63102,7.113316790736146
63103,17.75578518410712
63104,18.890236506973924
63105,8.615849708486287
63106,49.37171375100258
63107,37.80189381849133
63108,24.99867787825903
63109,7.010596975525135
63110,14.801422989444218
63111,35.195316249160186
63112,22.425654081577377
63113,33.779512920617215
63115,34.742120343839545
63116,19.95173701224787
63117,6.618962432915922
63118,32.33995584988962
63119,4.531354540478073
63120,44.18685927306617
63121,22.697409716700847
63123,8.534041715859896
63125,11.46469582213535
63130,15.321826681049982
63133,40.472198938250905
63136,24.324745944018538
63137,24.0072202166065
63139,11.55095876618919
63143,12.89176765566235
63147,31.79056666298464
63155,NaN
