GEOID_ZCTA,wht_pct,blk_pct
63101,39.67342001814333,53.0692470517085
63102,49.88641526578827,38.98228078146297
63103,49.23558444685205,41.42289635247381
63104,49.25927785868528,46.62280922010747
63105,77.68504881906945,6.480117820324005
63106,4.513980191077219,93.82066789376807
63107,6.238145416227607,91.85458377239199
63108,54.20691653786708,33.858191653786704
63109,89.3456818010692,6.573300203297945
63110,61.41256590509666,30.95342706502636
63111,47.8596092900052,45.967551203821955
63112,23.186086214255226,68.83269312846778
63113,3.2802743822003344,94.78497933339196
63115,0.774172294514907,98.41871190907594
63116,67.94761797245428,20.322871980130955
63117,78.30251726442414,11.22744486522611
63118,40.901708798192345,51.15802852704421
63119,86.96327559424367,7.793311644538235
63120,2.0941203543895988,95.7887469796341
63121,13.781765040188358,82.33336039620038
63123,90.38333659299825,2.5014668492079015
63125,89.48563470679059,5.080076291968151
63130,54.34293818534021,36.62873153689162
63133,8.54689203925845,89.04034896401309
63136,7.051155006496224,89.49593710774923
63137,19.077798293328012,78.68656120564899
63139,81.51187708019879,9.013814799617014
63143,76.83869619724196,17.070622649394068
63147,3.554168344744261,93.9085783326621
63155,NaN,NaN
